date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:51:20	27464/27464	---M--	200	added ('OK')	text/css	date:Tue,%2016%20Jun%202020%2015:19:28%20GMT	http://ardventures.in/kriti/kriti/assets/css/style.css	D:/KRITI/ardventures.in/kriti/kriti/assets/css/style.css	(from http://ardventures.in/kriti/kriti/index.php)
11:51:21	14635/14635	---M-Z	200	added ('OK')	text/html	date:Tue,%2001%20Sep%202020%2006:21:20%20GMT	http://ardventures.in/kriti/kriti/demo12.php	D:/KRITI/ardventures.in/kriti/kriti/demo12.html	(from http://ardventures.in/kriti/kriti/index.php)
11:51:22	14083/14083	---M-Z	200	added ('OK')	text/html	date:Tue,%2001%20Sep%202020%2006:21:21%20GMT	http://ardventures.in/kriti/kriti/demo11.php	D:/KRITI/ardventures.in/kriti/kriti/demo11.html	(from http://ardventures.in/kriti/kriti/index.php)
11:51:23	10286/10286	---M-Z	200	added ('OK')	text/html	date:Tue,%2001%20Sep%202020%2006:21:22%20GMT	http://ardventures.in/kriti/kriti/demo10.php	D:/KRITI/ardventures.in/kriti/kriti/demo10.html	(from http://ardventures.in/kriti/kriti/index.php)
11:51:23	10285/10285	---M-Z	200	added ('OK')	text/html	date:Tue,%2001%20Sep%202020%2006:21:23%20GMT	http://ardventures.in/kriti/kriti/demo9.php	D:/KRITI/ardventures.in/kriti/kriti/demo9.html	(from http://ardventures.in/kriti/kriti/index.php)
11:51:24	11335/11335	---M-Z	200	added ('OK')	text/html	date:Tue,%2001%20Sep%202020%2006:21:23%20GMT	http://ardventures.in/kriti/kriti/currentaff.php	D:/KRITI/ardventures.in/kriti/kriti/currentaff.html	(from http://ardventures.in/kriti/kriti/index.php)
11:51:24	12105/12105	---M-Z	200	added ('OK')	text/html	date:Tue,%2001%20Sep%202020%2006:21:24%20GMT	http://ardventures.in/kriti/kriti/careercon.php	D:/KRITI/ardventures.in/kriti/kriti/careercon.html	(from http://ardventures.in/kriti/kriti/index.php)
11:51:25	11719/11719	---M-Z	200	added ('OK')	text/html	date:Tue,%2001%20Sep%202020%2006:21:24%20GMT	http://ardventures.in/kriti/kriti/persanility.php	D:/KRITI/ardventures.in/kriti/kriti/persanility.html	(from http://ardventures.in/kriti/kriti/index.php)
11:51:26	11287/11287	---M-Z	200	added ('OK')	text/html	date:Tue,%2001%20Sep%202020%2006:21:25%20GMT	http://ardventures.in/kriti/kriti/intervie.php	D:/KRITI/ardventures.in/kriti/kriti/intervie.html	(from http://ardventures.in/kriti/kriti/index.php)
11:51:26	11347/11347	---M-Z	200	added ('OK')	text/html	date:Tue,%2001%20Sep%202020%2006:21:25%20GMT	http://ardventures.in/kriti/kriti/powerpake.php	D:/KRITI/ardventures.in/kriti/kriti/powerpake.html	(from http://ardventures.in/kriti/kriti/index.php)
